population,score
masked_spoof,0.4466434348133569
masked_spoof,0.47991174625945804
masked_spoof,0.4936626436783661
masked_spoof,0.5446352603690391
masked_spoof,0.43164155775601487
masked_spoof,0.4385901691202267
masked_spoof,0.5082031604193857
masked_spoof,0.5063493666117024
masked_spoof,0.5309851558544666
masked_spoof,0.419398457498892
masked_spoof,0.4259633732877929
masked_spoof,0.5247113766064114
masked_spoof,0.5217977423826197
masked_spoof,0.5098882588980053
masked_spoof,0.550940492776013
masked_spoof,0.4344385276835509
masked_spoof,0.5104581416597593
masked_spoof,0.562119010774597
masked_spoof,0.47183645682569797
masked_spoof,0.5522032204403097
masked_spoof,0.418691689515715
masked_spoof,0.4840408235701381
masked_spoof,0.4840093319642274
masked_spoof,0.4695623629667109
masked_spoof,0.5139012978949504
masked_spoof,0.5063086135879529
masked_spoof,0.44420816353138703
masked_spoof,0.495070024701092
